age,nb_payements,interest_rate,amount,target
40,30,0,8000,290.867932216435
40,30,0.005,500,16.140994431806877
40,30,0.005,1000,32.281988863613755
40,30,0.005,2000,64.56397772722751
40,30,0.005,4000,129.12795545445502
40,30,0.005,8000,258.25591090891004
40,30,0.01,500,14.373968234045838
40,30,0.01,1000,28.747936468091677
40,30,0.01,2000,57.49587293618335
40,30,0.01,4000,114.9917458723667
40,30,0.01,8000,229.9834917447334
40,30,0.015,500,12.84030276637965
40,30,0.015,1000,25.6806055327593
40,30,0.015,2000,51.3612110655186
40,30,0.015,4000,102.7224221310372
40,30,0.015,8000,205.4448442620744
40,30,0.02,500,11.50756350418304
40,30,0.02,1000,23.01512700836608
40,30,0.02,2000,46.03025401673216
40,30,0.02,4000,92.06050803346432
40,30,0.02,8000,184.12101606692863
40,30,0.025,500,10.347949152925283
40,30,0.025,1000,20.695898305850566
40,30,0.025,2000,41.39179661170113
40,30,0.025,4000,82.78359322340226
40,30,0.025,8000,165.56718644680453
40,40,0,500,14.73524480096685
40,40,0,1000,29.4704896019337
40,40,0,2000,58.9409792038674
40,40,0,4000,117.8819584077348
40,40,0,8000,235.7639168154696
40,40,0.005,500,13.32823962150154
40,40,0.005,1000,26.65647924300308
40,40,0.005,2000,53.31295848600616
40,40,0.005,4000,106.62591697201232
40,40,0.005,8000,213.25183394402464
40,40,0.01,500,12.075487184680409
40,40,0.01,1000,24.150974369360817
40,40,0.01,2000,48.301948738721634
40,40,0.01,4000,96.60389747744327
40,40,0.01,8000,193.20779495488654
40,40,0.015,500,10.960615665394679
40,40,0.015,1000,21.921231330789357
40,40,0.015,2000,43.842462661578715
40,40,0.015,4000,87.68492532315743
40,40,0.015,8000,175.36985064631486
40,40,0.02,500,9.968838374194837
40,40,0.02,1000,19.937676748389674
40,40,0.02,2000,39.87535349677935
40,40,0.02,4000,79.7507069935587
40,40,0.02,8000,159.5014139871174
40,40,0.025,500,9.086815610071818
40,40,0.025,1000,18.173631220143637
40,40,0.025,2000,36.347262440287274
40,40,0.025,4000,72.69452488057455
40,40,0.025,8000,145.3890497611491
50,1,0,500,499.99460835058665
50,1,0,1000,999.9892167011733
50,1,0,2000,1999.9784334023466
50,1,0,4000,3999.956866804693
50,1,0,8000,7999.913733609386
50,1,0.005,500,432.95922661782527
50,1,0.005,1000,865.9184532356505
50,1,0.005,2000,1731.836906471301
50,1,0.005,4000,3463.673812942602
50,1,0.005,8000,6927.347625885204
50,1,0.01,500,376.39374504349905
50,1,0.01,1000,752.7874900869981
50,1,0.01,2000,1505.5749801739962
50,1,0.01,4000,3011.1499603479924
50,1,0.01,8000,6022.299920695985
50,1,0.015,500,328.51833594382185
50,1,0.015,1000,657.0366718876437
50,1,0.015,2000,1314.0733437752874
50,1,0.015,4000,2628.146687550575
50,1,0.015,8000,5256.29337510115
50,1,0.02,500,287.8747376333558
50,1,0.02,1000,575.7494752667116
50,1,0.02,2000,1151.498950533423
50,1,0.02,4000,2302.997901066846
50,1,0.02,8000,4605.995802133692
50,1,0.025,500,253.26526116733334
50,1,0.025,1000,506.53052233466667
50,1,0.025,2000,1013.0610446693333
50,1,0.025,4000,2026.1220893386667
50,1,0.025,8000,4052.2441786773334
50,5,0,500,101.25676974143956
50,5,0,1000,202.5135394828791
50,5,0,2000,405.0270789657582
50,5,0,4000,810.0541579315164
50,5,0,8000,1620.1083158630329
50,5,0.005,500,88.5521192632444
50,5,0.005,1000,177.1042385264888
50,5,0.005,2000,354.2084770529776
50,5,0.005,4000,708.4169541059553
50,5,0.005,8000,1416.8339082119105
50,5,0.01,500,77.74005234817969
50,5,0.01,1000,155.48010469635938
50,5,0.01,2000,310.96020939271875
50,5,0.01,4000,621.9204187854375
50,5,0.01,8000,1243.840837570875
50,5,0.015,500,68.51257742686401
50,5,0.015,1000,137.02515485372803
50,5,0.015,2000,274.05030970745605
50,5,0.015,4000,548.1006194149121
50,5,0.015,8000,1096.2012388298242
50,5,0.02,500,60.61509927540272
50,5,0.02,1000,121.23019855080544
50,5,0.02,2000,242.46039710161088
50,5,0.02,4000,484.92079420322176
50,5,0.02,8000,969.8415884064435
50,5,0.025,500,53.836682994060595
50,5,0.025,1000,107.67336598812119
50,5,0.025,2000,215.34673197624238
50,5,0.025,4000,430.69346395248476
50,5,0.025,8000,861.3869279049695
50,10,0,500,51.60809568436448
50,10,0,1000,103.21619136872896
50,10,0,2000,206.4323827374579
50,10,0,4000,412.8647654749158
50,10,0,8000,825.7295309498317
50,10,0.005,500,45.68397580496763
50,10,0.005,1000,91.36795160993526
50,10,0.005,2000,182.73590321987052
50,10,0.005,4000,365.47180643974104
50,10,0.005,8000,730.9436128794821
50,10,0.01,500,40.58709444058933
50,10,0.01,1000,81.17418888117867
50,10,0.01,2000,162.34837776235733
50,10,0.01,4000,324.69675552471466
50,10,0.01,8000,649.3935110494293
50,10,0.015,500,36.190949773530136
50,10,0.015,1000,72.38189954706027
50,10,0.015,2000,144.76379909412054
50,10,0.015,4000,289.5275981882411
50,10,0.015,8000,579.0551963764822
50,10,0.02,500,32.38968204349789
50,10,0.02,1000,64.77936408699578
50,10,0.02,2000,129.55872817399157
50,10,0.02,4000,259.11745634798314
50,10,0.02,8000,518.2349126959663
50,10,0.025,500,29.094526727528308
50,10,0.025,1000,58.189053455056616
50,10,0.025,2000,116.37810691011323
50,10,0.025,4000,232.75621382022646
50,10,0.025,8000,465.5124276404529
50,20,0,500,27.266306859812932
50,20,0,1000,54.532613719625864
50,20,0,2000,109.06522743925173
50,20,0,4000,218.13045487850346
50,20,0,8000,436.2609097570069
50,20,0.005,500,24.699348213730094
50,20,0.005,1000,49.39869642746019
50,20,0.005,2000,98.79739285492037
50,20,0.005,4000,197.59478570984075
50,20,0.005,8000,395.1895714196815
50,20,0.01,500,22.439364387668085
50,20,0.01,1000,44.87872877533617
50,20,0.01,2000,89.75745755067234
50,20,0.01,4000,179.51491510134468
50,20,0.01,8000,359.02983020268937
50,20,0.015,500,20.44640711266642
50,20,0.015,1000,40.89281422533284
50,20,0.015,2000,81.78562845066568
50,20,0.015,4000,163.57125690133137
50,20,0.015,8000,327.14251380266273
50,20,0.02,500,18.686043021043172
50,20,0.02,1000,37.372086042086345
50,20,0.02,2000,74.74417208417269
50,20,0.02,4000,149.48834416834538
50,20,0.02,8000,298.97668833669076
50,20,0.025,500,17.128554658281416
50,20,0.025,1000,34.25710931656283
50,20,0.025,2000,68.51421863312567
50,20,0.025,4000,137.02843726625133
50,20,0.025,8000,274.05687453250266
50,30,0,500,19.985732943108502
50,30,0,1000,39.971465886217004
50,30,0,2000,79.94293177243401
50,30,0,4000,159.88586354486802
50,30,0,8000,319.77172708973603
50,30,0.005,500,18.462328494790043
50,30,0.005,1000,36.924656989580086
50,30,0.005,2000,73.84931397916017
50,30,0.005,4000,147.69862795832034
50,30,0.005,8000,295.3972559166407
50,30,0.01,500,17.087427854423687
50,30,0.01,1000,34.174855708847375
50,30,0.01,2000,68.34971141769475
50,30,0.01,4000,136.6994228353895
50,30,0.01,8000,273.398845670779
50,30,0.015,500,15.845974176235691
50,30,0.015,1000,31.691948352471382
50,30,0.015,2000,63.383896704942764
50,30,0.015,4000,126.76779340988553
50,30,0.015,8000,253.53558681977105
50,30,0.02,500,14.72445030495015
50,30,0.02,1000,29.4489006099003
50,30,0.02,2000,58.8978012198006
50,30,0.02,4000,117.7956024396012
50,30,0.02,8000,235.5912048792024
50,30,0.025,500,13.71071882159794
50,30,0.025,1000,27.42143764319588
50,30,0.025,2000,54.84287528639176
50,30,0.025,4000,109.68575057278352
50,30,0.025,8000,219.37150114556704
50,40,0,500,17.541009095562234
50,40,0,1000,35.08201819112447
50,40,0,2000,70.16403638224894
50,40,0,4000,140.32807276449788
50,40,0,8000,280.65614552899575
50,40,0.005,500,16.400309734359727
50,40,0.005,1000,32.800619468719454
50,40,0.005,2000,65.60123893743891
50,40,0.005,4000,131.20247787487781
50,40,0.005,8000,262.40495574975563
50,40,0.01,500,15.348349441005121
50,40,0.01,1000,30.696698882010242
50,40,0.01,2000,61.393397764020484
50,40,0.01,4000,122.78679552804097
50,40,0.01,8000,245.57359105608194
50,40,0.015,500,14.37916196587063
50,40,0.015,1000,28.75832393174126
50,40,0.015,2000,57.51664786348252
50,40,0.015,4000,115.03329572696504
50,40,0.015,8000,230.06659145393007
50,40,0.02,500,13.48701467202266
50,40,0.02,1000,26.97402934404532
50,40,0.02,2000,53.94805868809064
50,40,0.02,4000,107.89611737618128
50,40,0.02,8000,215.79223475236256
50,40,0.025,500,12.666418265722086
50,40,0.025,1000,25.332836531444173
50,40,0.025,2000,50.665673062888345
50,40,0.025,4000,101.33134612577669
50,40,0.025,8000,202.66269225155338
60,1,0,500,499.9941546447194
60,1,0,1000,999.9883092894388
60,1,0,2000,1999.9766185788776
60,1,0,4000,3999.953237157755
60,1,0,8000,7999.90647431551
60,1,0.005,500,450.4670271532375
60,1,0.005,1000,900.934054306475
60,1,0.005,2000,1801.86810861295
60,1,0.005,4000,3603.7362172259
60,1,0.005,8000,7207.4724344518
60,1,0.01,500,406.95231147179095
60,1,0.01,1000,813.9046229435819
60,1,0.01,2000,1627.8092458871638
60,1,0.01,4000,3255.6184917743276
60,1,0.01,8000,6511.236983548655
60,1,0.015,500,368.6344001946106
60,1,0.015,1000,737.2688003892212
60,1,0.015,2000,1474.5376007784423
60,1,0.015,4000,2949.0752015568846
60,1,0.015,8000,5898.150403113769
60,1,0.02,500,334.8173867334525
60,1,0.02,1000,669.634773466905
60,1,0.02,2000,1339.26954693381
60,1,0.02,4000,2678.53909386762
60,1,0.02,8000,5357.07818773524
60,1,0.025,500,304.9063710250192
60,1,0.025,1000,609.8127420500384
60,1,0.025,2000,1219.6254841000768
60,1,0.025,4000,2439.2509682001537
60,1,0.025,8000,4878.501936400307
60,5,0,500,102.50949750128832
