age,nb_payements,maturity,interest_rate,amount,target
20,20,40,0.005,8000,300.08696012551064
20,20,40,0.01,500,16.097868559512538
20,20,40,0.01,1000,32.195737119025075
20,20,40,0.01,2000,64.39147423805015
20,20,40,0.01,4000,128.7829484761003
20,20,40,0.01,8000,257.5658969522006
20,20,40,0.015,500,13.816097302391622
20,20,40,0.015,1000,27.632194604783244
20,20,40,0.015,2000,55.26438920956649
20,20,40,0.015,4000,110.52877841913298
20,20,40,0.015,8000,221.05755683826595
20,20,40,0.02,500,11.857170288001871
20,20,40,0.02,1000,23.714340576003742
20,20,40,0.02,2000,47.428681152007485
20,20,40,0.02,4000,94.85736230401497
20,20,40,0.02,8000,189.71472460802994
20,20,40,0.025,500,10.175565401855703
20,20,40,0.025,1000,20.351130803711406
20,20,40,0.025,2000,40.70226160742281
20,20,40,0.025,4000,81.40452321484563
20,20,40,0.025,8000,162.80904642969125
20,30,30,0,500,15.948763633737022
20,30,30,0,1000,31.897527267474043
20,30,30,0,2000,63.795054534948086
20,30,30,0,4000,127.59010906989617
20,30,30,0,8000,255.18021813979234
20,30,30,0.005,500,14.73858783028153
20,30,30,0.005,1000,29.47717566056306
20,30,30,0.005,2000,58.95435132112612
20,30,30,0.005,4000,117.90870264225224
20,30,30,0.005,8000,235.81740528450447
20,30,30,0.01,500,13.600541145139045
20,30,30,0.01,1000,27.20108229027809
20,30,30,0.01,2000,54.40216458055618
20,30,30,0.01,4000,108.80432916111236
20,30,30,0.01,8000,217.60865832222473
20,30,30,0.015,500,12.532603800183832
20,30,30,0.015,1000,25.065207600367664
20,30,30,0.015,2000,50.13041520073533
20,30,30,0.015,4000,100.26083040147066
20,30,30,0.015,8000,200.5216608029413
20,30,30,0.02,500,11.532566456622053
20,30,30,0.02,1000,23.065132913244106
20,30,30,0.02,2000,46.13026582648821
20,30,30,0.02,4000,92.26053165297643
20,30,30,0.02,8000,184.52106330595285
20,30,30,0.025,500,10.598054367084735
20,30,30,0.025,1000,21.19610873416947
20,30,30,0.025,2000,42.39221746833894
20,30,30,0.025,4000,84.78443493667788
20,30,30,0.025,8000,169.56886987335577
20,30,40,0,500,14.71084954820779
20,30,40,0,1000,29.42169909641558
20,30,40,0,2000,58.84339819283116
20,30,40,0,4000,117.68679638566232
20,30,40,0,8000,235.37359277132464
20,30,40,0.005,500,12.933199846246191
20,30,40,0.005,1000,25.866399692492383
20,30,40,0.005,2000,51.732799384984766
20,30,40,0.005,4000,103.46559876996953
20,30,40,0.005,8000,206.93119753993906
20,30,40,0.01,500,11.356726919059035
20,30,40,0.01,1000,22.71345383811807
20,30,40,0.01,2000,45.42690767623614
20,30,40,0.01,4000,90.85381535247228
20,30,40,0.01,8000,181.70763070494456
20,30,40,0.015,500,9.960740364477184
20,30,40,0.015,1000,19.921480728954368
20,30,40,0.015,2000,39.842961457908736
20,30,40,0.015,4000,79.68592291581747
20,30,40,0.015,8000,159.37184583163494
20,30,40,0.02,500,8.726397271310113
20,30,40,0.02,1000,17.452794542620225
20,30,40,0.02,2000,34.90558908524045
20,30,40,0.02,4000,69.8111781704809
20,30,40,0.02,8000,139.6223563409618
20,30,40,0.025,500,7.636567965276687
20,30,40,0.025,1000,15.273135930553375
20,30,40,0.025,2000,30.54627186110675
20,30,40,0.025,4000,61.0925437222135
20,30,40,0.025,8000,122.185087444427
20,40,40,0,500,11.237953798501428
20,40,40,0,1000,22.475907597002855
20,40,40,0,2000,44.95181519400571
20,40,40,0,4000,89.90363038801142
20,40,40,0,8000,179.80726077602284
20,40,40,0.005,500,10.109092775981242
20,40,40,0.005,1000,20.218185551962485
20,40,40,0.005,2000,40.43637110392497
20,40,40,0.005,4000,80.87274220784994
20,40,40,0.005,8000,161.74548441569988
20,40,40,0.01,500,9.069017501812382
20,40,40,0.01,1000,18.138035003624765
20,40,40,0.01,2000,36.27607000724953
20,40,40,0.01,4000,72.55214001449906
20,40,40,0.01,8000,145.10428002899812
20,40,40,0.015,500,8.114484545520993
20,40,40,0.015,1000,16.228969091041986
20,40,40,0.015,2000,32.45793818208397
20,40,40,0.015,4000,64.91587636416794
20,40,40,0.015,8000,129.83175272833589
20,40,40,0.02,500,7.241826380889184
20,40,40,0.02,1000,14.483652761778368
20,40,40,0.02,2000,28.967305523556735
20,40,40,0.02,4000,57.93461104711347
20,40,40,0.02,8000,115.86922209422694
20,40,40,0.025,500,6.447025722887557
20,40,40,0.025,1000,12.894051445775114
20,40,40,0.025,2000,25.788102891550228
20,40,40,0.025,4000,51.576205783100455
20,40,40,0.025,8000,103.15241156620091
30,1,1,0,500,499.41759476857055
30,1,1,0,1000,998.8351895371411
30,1,1,0,2000,1997.6703790742822
30,1,1,0,4000,3995.3407581485644
30,1,1,0,8000,7990.681516297129
30,1,1,0.005,500,496.93293011798073
30,1,1,0.005,1000,993.8658602359615
30,1,1,0.005,2000,1987.731720471923
30,1,1,0.005,4000,3975.463440943846
30,1,1,0.005,8000,7950.926881887692
30,1,1,0.01,500,494.4728661074956
30,1,1,0.01,1000,988.9457322149912
30,1,1,0.01,2000,1977.8914644299823
30,1,1,0.01,4000,3955.7829288599646
30,1,1,0.01,8000,7911.565857719929
30,1,1,0.015,500,492.0370391808578
30,1,1,0.015,1000,984.0740783617156
30,1,1,0.015,2000,1968.1481567234312
30,1,1,0.015,4000,3936.2963134468623
30,1,1,0.015,8000,7872.592626893725
30,1,1,0.02,500,489.62509291036326
30,1,1,0.02,1000,979.2501858207265
30,1,1,0.02,2000,1958.500371641453
30,1,1,0.02,4000,3917.000743282906
30,1,1,0.02,8000,7834.001486565812
30,1,1,0.025,500,487.2366778229957
30,1,1,0.025,1000,974.4733556459914
30,1,1,0.025,2000,1948.9467112919829
30,1,1,0.025,4000,3897.8934225839657
30,1,1,0.025,8000,7795.7868451679315
30,1,5,0,500,496.8274241340554
30,1,5,0,1000,993.6548482681108
30,1,5,0,2000,1987.3096965362215
30,1,5,0,4000,3974.619393072443
30,1,5,0,8000,7949.238786144886
30,1,5,0.005,500,484.5908967369655
30,1,5,0.005,1000,969.181793473931
30,1,5,0.005,2000,1938.363586947862
30,1,5,0.005,4000,3876.727173895724
30,1,5,0.005,8000,7753.454347791448
30,1,5,0.01,500,472.71424672559874
30,1,5,0.01,1000,945.4284934511975
30,1,5,0.01,2000,1890.856986902395
30,1,5,0.01,4000,3781.71397380479
30,1,5,0.01,8000,7563.42794760958
30,1,5,0.015,500,461.185186397124
